activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,activity_label
301072,CHEMBL698532,PGI-2 agonistic activity by measuring inhibition of 4 uM ADP-induced human platelet aggregation,O=C(O)COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,,,CHEMBL1150504,Bioorg Med Chem Lett,1995,CHEMBL11779,,CHEMBL11779,6.82,10069,=,1,1,=,,IC50,nM,150.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.15,1
321299,CHEMBL699152,In vitro inhibition of ADP-induced human platelet aggregation.,O=C(NC[C@H](NS(=O)(=O)Cc1ccccc1)C(=O)O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2,,,CHEMBL1129711,Bioorg Med Chem Lett,1996,CHEMBL85064,,CHEMBL85064,8.4,151571,=,1,1,=,,IC50,nM,4.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,4.0,0
371813,CHEMBL700565,Compound was evaluated for GROalpha-mediated calcium mobilization in human polymorphonuclear neutrophils(PMNs),N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1Cl,,,CHEMBL1149089,J Med Chem,2004,CHEMBL27446,,CHEMBL27446,8.59,36909,=,1,1,=,,IC50,nM,2.6,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,2.6,0
398348,CHEMBL699491,In vitro inhibition of collagen-induced platelet aggregation in human platelet rich plasma,COc1ccc(-c2nc(CCO)sc2-c2ccc(OC)cc2)cc1,,,CHEMBL1121768,J Med Chem,1981,CHEMBL35637,,CHEMBL35637,,58384,=,1,1,=,,IC50,ug.mL-1,0.00032,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ng ml-1,UO_0000274,0.32,0
268967,CHEMBL698532,PGI-2 agonistic activity by measuring inhibition of 4 uM ADP-induced human platelet aggregation,CCC/C(CC1CCc2c(cccc2OCC(=O)O)C1)=N\OC(c1ccccc1)c1ccccc1,,,CHEMBL1150504,Bioorg Med Chem Lett,1995,CHEMBL268477,AP-227,CHEMBL268477,6.82,10072,=,1,1,=,,IC50,nM,150.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.15,1
292343,CHEMBL698689,In vitro inhibition of histamine release from human basophils,c1cc(Nc2nccc(-c3ccncc3)n2)cc(OCCn2ccnc2)c1,,,CHEMBL1126800,J Med Chem,1993,CHEMBL329204,,CHEMBL329204,6.7,168310,=,1,1,=,,IC50,nM,200.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.2,1
168479,CHEMBL872816,Inhibition of growth of human mammary carcinoma (MCF-7) cell line.,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1NC(=O)[C@H](C)NC(C)=O,,,CHEMBL1134655,J Med Chem,2001,CHEMBL120186,,CHEMBL120186,8.0,227928,=,1,1,=,,IC50,nM,10.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,10.0,0
99899,CHEMBL699503,Inhibitory activity against PAF-induced aggregation of human platelets suspended in plasma,CCCOc1c(OC)cc([C@@H]2CC[C@@H](c3cc(OC)c(OC)c(OC)c3)O2)cc1S(=O)(=O)CCO,,,CHEMBL1126126,J Med Chem,1992,CHEMBL299944,,CHEMBL299944,7.26,221179,=,1,1,=,,IC50,nM,55.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,55.0,1
397182,CHEMBL699491,In vitro inhibition of collagen-induced platelet aggregation in human platelet rich plasma,COc1ccc(-c2nc(C)sc2-c2ccc(OC)cc2)cc1,,,CHEMBL1121768,J Med Chem,1981,CHEMBL37381,,CHEMBL37381,,58393,=,1,1,=,,IC50,ug.mL-1,0.00032,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ng ml-1,UO_0000274,0.32,0
452952,CHEMBL701319,Inhibition of leukotriene B4 production in human whole blood,c1ccc(Cc2ccc(OCCN3CCCCC3)cc2)cc1,,,CHEMBL1134981,Bioorg Med Chem Lett,2002,CHEMBL112522,,CHEMBL112522,6.77,215630,=,1,1,=,,IC50,nM,170.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.17,1
