activity_id,assay_chembl_id,assay_description,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,activity_label
709295,CHEMBL841660,Inhibition of IL1-beta release stimulated with LPS in human monocytes,COC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(C(=O)ON(C)C)c(C(=O)ON(C)C)cc3C=CC12,,,CHEMBL1131935,Bioorg Med Chem Lett,1999,CHEMBL434514,,CHEMBL434514,,277853,>,1,1,>,,IC50,nM,3.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,3.0,0
1139731,CHEMBL873206,In vitro inhibitory activity against LTB4 synthesis in A-23187 stimulated human whole blood (HB1).,COC(=O)c1cc(CO/N=C(\C)c2ccc(Sc3cc(F)cc(C4CCOCC4)c3)cc2)on1,,,CHEMBL1129182,Bioorg Med Chem Lett,1996,CHEMBL25401,,CHEMBL25401,7.0,36587,=,1,1,=,,IC50,nM,100.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.1,1
1103478,CHEMBL761040,Effect on production of LTB4 in human polymorphonuclear leukocytes,CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(CCOC(C)C(=O)O)n3Cc2ccc(Cl)cc2)S1,,,CHEMBL1127635,J Med Chem,1994,CHEMBL13931,,CHEMBL13931,8.3,18619,=,1,1,=,,IC50,nM,5.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,5.0,0
1208547,CHEMBL840545,Inhibition of collagen-induced platelet aggregation in human platelet-rich plasma,CC(C)CC(NC(=O)c1ccc(C(=N)N)cc1)C(C)(C)C(=O)N1CCC(CC(=O)O)CC1,,,CHEMBL1130999,J Med Chem,1998,CHEMBL74908,,CHEMBL74908,7.09,137829,=,1,1,=,,IC50,nM,81.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.081,1
243851,CHEMBL767837,Concentration of test compound required to inhibit 50% LTB4-induced calcium mobilization in intact human PMNs,COc1ccc(CCCCCCCCOc2ccc(CSCc3ccc(C(=O)O)cc3)nc2/C=C/C(=O)O)cc1,,,CHEMBL1127355,J Med Chem,1994,CHEMBL325637,,CHEMBL325637,6.76,212918,=,1,1,=,,IC50,nM,175.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,175.0,1
130746,CHEMBL701928,Inhibition of LPS-stimulated TNF-alpha production in human whole blood,O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(CC4CC4)CC3)cc2N1c1c(Cl)cccc1Cl,,,CHEMBL1136271,Bioorg Med Chem Lett,2003,CHEMBL419134,,CHEMBL419134,8.12,174915,=,1,1,=,,IC50,nM,7.6,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,7.6,0
718899,CHEMBL701818,Inhibition of human mixed lymphocyte response (MLR),CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/C3CC[C@@H](OCC(=O)Nc4ccc(F)cc4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,,CHEMBL1131619,J Med Chem,1998,CHEMBL51334,,CHEMBL51334,10.52,83908,=,1,1,=,,IC50,nM,0.03,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,0.03,0
293341,CHEMBL698532,PGI-2 agonistic activity by measuring inhibition of 4 uM ADP-induced human platelet aggregation,O=C(O)COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3ccccc3)cn1)C2,,,CHEMBL1150504,Bioorg Med Chem Lett,1995,CHEMBL11765,,CHEMBL11765,6.89,10070,=,1,1,=,,IC50,nM,130.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.13,1
1184816,CHEMBL840545,Inhibition of collagen-induced platelet aggregation in human platelet-rich plasma,CC(C)C(NC(=O)c1ccc(C(=N)N)cc1)C(C)(C)C(=O)N1CCC(CC(=O)O)CC1,,,CHEMBL1130999,J Med Chem,1998,CHEMBL76851,,CHEMBL76851,6.82,137832,=,1,1,=,,IC50,nM,150.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.15,1
1134804,CHEMBL761040,Effect on production of LTB4 in human polymorphonuclear leukocytes,CC(=O)N(CCc1c2c3c(c(OCc4ccc(-c5ccccc5)cn4)ccc3n1Cc1ccc(Cl)cc1)CC(C)S2)C(C)C(=O)O,,,CHEMBL1127635,J Med Chem,1994,CHEMBL16591,,CHEMBL16591,6.95,18621,=,1,1,=,,IC50,nM,113.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,113.0,1
1083476,CHEMBL768060,Inhibition of ADP-induced platelet aggregation in human platelet rich citreated plasma in presence of 10-20 uM ADP.,CC(=O)NCSC[C@H](NC(=O)CNC(=O)CNC(=O)[C@H]1CSCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](CSCCCN)C(=O)NCC(=O)N[C@H](CC(=O)O)C(=O)N1)C(=O)NCC(=O)N[C@@H](CSCNC(C)=O)C(=O)NCC(=O)NCC(=O)N[C@@H](CSC1CC(=O)[N+]2(COC2)C1=O)C(N)=O,,,CHEMBL1129533,J Med Chem,1996,CHEMBL438651,,CHEMBL438651,7.05,43605,=,1,1,=,,IC50,nM,90.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.09,1
1136091,CHEMBL761040,Effect on production of LTB4 in human polymorphonuclear leukocytes,CC1Cc2c(OCc3ccc(-c4ccccc4)cn3)ccc3c2c(c(CSCC(=O)O)n3Cc2ccc(Cl)cc2)S1,,,CHEMBL1127635,J Med Chem,1994,CHEMBL279194,,CHEMBL279194,7.82,18638,=,1,1,=,,IC50,nM,15.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,15.0,0
159766,CHEMBL872816,Inhibition of growth of human mammary carcinoma (MCF-7) cell line.,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1NC(=O)[C@H](CO)NC(C)=O,,,CHEMBL1134655,J Med Chem,2001,CHEMBL122187,,CHEMBL122187,8.21,227926,=,1,1,=,,IC50,nM,6.2,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,6.2,0
32400,CHEMBL764816,Inhibitory activity of Ca-ionophore-A23187-induced Leukotriene B4 (LTB4) release in human polymorphonuclear leukocytes,CC(C)c1ccc2oc(NC(Cc3cccc(Cl)c3)c3ccccn3)nc2c1,,,CHEMBL1127687,J Med Chem,1994,CHEMBL265475,,CHEMBL265475,8.3,341217,=,1,1,=,,IC50,nM,5.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.005,0
382348,CHEMBL761638,In vitro inhibition of collagen-induced platelet aggregation in human platelet-rich plasma (PRP),CCNc1ccc(-c2nnsc2-c2ccc(NCC)cc2)cc1,,,CHEMBL1122973,J Med Chem,1985,CHEMBL337345,,CHEMBL337345,,267952,=,1,1,=,,IC50,ug.mL-1,3.2,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ug ml-1,UO_0000274,3.2,0
910421,CHEMBL821741,In vitro cytotoxicity in Human ovary tumor cells,CC(=O)c1cccc2c(/N=N/c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])c3ccc(O)cc3c(O)c12,,,CHEMBL1145129,J Med Chem,2003,CHEMBL344900,,CHEMBL344900,,272365,=,1,1,=,,IC50,ug.mL-1,0.4,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,ug ml-1,UO_0000274,0.4,0
734522,CHEMBL700481,"Inhibitory concentration required for the inhibition of U-46,619 induced aggregation of human platelets.",O=C(O)CCC/C=C\c1cc(Cc2cccnc2)cc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2,,,CHEMBL1130823,Bioorg Med Chem Lett,1998,CHEMBL283860,,CHEMBL283860,7.05,43966,=,1,1,=,,IC50,nM,90.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,uM,UO_0000065,0.09,1
1401493,CHEMBL834299,In vitro metabolic stability of compound was tested in human liver microsomes,CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCC4)CC1,,,CHEMBL1144351,J Med Chem,2005,CHEMBL178690,,CHEMBL178690,7.07,360279,=,1,1,=,,IC50,nM,85.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,85.0,1
54294,CHEMBL699906,Inhibitory activity of compound was determined by 3E-7M PAF-induced degranulation of PAFas measured by myeloperoxidase secretion,CCCS(=O)(=O)c1cc(C2CC[C@@H](c3cc(OC)c(OC)c(OC)c3)O2)cc(OC)c1OCCS(=O)(=O)c1ccccc1,,,CHEMBL1126400,Bioorg Med Chem Lett,1992,CHEMBL293773,,CHEMBL293773,9.11,90526,=,1,1,=,,IC50,nM,0.78,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,0.78,0
961256,CHEMBL768062,In vitro Inhibitory activity against patelet aggregation in human platelet-rich plasma induced by ADP,CN(CCCC1CCNCC1)C(=O)c1ccc2c(c1)CN(CCc1ccccc1)C(=O)C(CC(=O)O)N2,,,CHEMBL1129030,J Med Chem,1996,CHEMBL144681,,CHEMBL144681,7.22,282019,=,1,1,=,,IC50,nM,60.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,60.0,1
510989,CHEMBL700865,Compound was tested for Leukotriene B4-mediated Up-regulation of human neutrophil CD11b/CD18,CCc1cc(-c2ccc(F)cc2)c(O)cc1OCCCOc1cccc(Oc2ccc(C(=O)O)cc2)c1CCC(=O)O,,,CHEMBL1150505,Bioorg Med Chem Lett,1994,CHEMBL262231,,CHEMBL262231,8.59,112602,=,1,1,=,,IC50,nM,2.6,CHEMBL372,Homo sapiens,Homo sapiens,9606,IC50,nM,UO_0000065,2.6,0
